*******14/10/2021 09:53:36*******
[PID]	[name]	[memory]
1841	/usr/libexec/gsd-datetime	385124K
1843	/usr/libexec/gsd-housekeeping	323224K
1844	/usr/libexec/gsd-keyboard	357440K
1845	/usr/libexec/gsd-media-keys	978180K
1846	/usr/libexec/gsd-power	505328K
1848	/usr/libexec/gsd-print-notifications	259716K
1849	/usr/libexec/gsd-rfkill	468596K
1850	/usr/libexec/gsd-screensaver-proxy	247004K
1852	/usr/libexec/gsd-sharing	476280K
1854	/usr/libexec/gsd-smartcard	326664K
1855	/usr/libexec/gsd-sound	330860K
1856	/usr/libexec/gsd-usb-protection	470200K
1876	/usr/libexec/gsd-wacom	356900K
1879	/usr/libexec/gsd-wwan	325512K
1882	/usr/libexec/gsd-xsettings	358212K
1883	/usr/libexec/gsd-disk-utility-notify	231804K
1893	/usr/libexec/evolution-data-server/evolution-alarm-notify	649112K
1942	/usr/libexec/colord	257632K
1951	/usr/libexec/ibus-engine-simple	174192K
1967	/usr/libexec/gsd-printer	353688K
2014	/snap/snap-store/547/usr/bin/snap-store	1402952K
2031	/usr/libexec/xdg-document-portal	542888K
2115	/usr/libexec/xdg-desktop-portal	474080K
2119	/usr/libexec/xdg-desktop-portal-gtk	505292K
2130	/usr/libexec/fwupd/fwupd	395848K
3075	update-notifier	431948K
3243	/usr/libexec/gnome-terminal-server	826176K
3251	bash	22628K
3413	[kworker/2:0-events]	0K
3414	[kworker/u8:0-ext4-rsv-conversion]	0K
7204	[kworker/u8:1-events_unbound]	0K
7257	bash	22512K
7287	python3	30408K
